<PAD>	1000000000
<UNK>	1000000000
<S>	1000000000
</S>	1000000000
the	13680
and	6845
of	6259
to	4292
in	3745
a	2467
is	1948
that	1771
's	1422
on	1373
china	1372
for	1350
has	1010
with	970
this	941
have	905
will	896
by	843
be	818
as	808
are	762
it	735
people	705
taiwan	670
he	669
development	665
at	658
we	631
not	617
said	585
an	567
chinese	551
countries	542
two	539
also	525
from	515
new	515
us	509
should	503
was	495
all	494
their	488
its	476
economic	473
relations	445
united	425
states	410
party	393
our	391
between	365
out	358
his	345
government	345
one	340
they	337
must	329
can	318
been	309
military	309
more	308
work	306
cooperation	304
important	295
national	291
which	289
up	282
world	280
only	268
other	263
some	261
but	261
'	258
year	257
state	256
country	253
years	249
or	248
international	247
there	245
jiang	239
made	235
system	234
foreign	228
three	224
political	217
were	216
time	212
president	211
meeting	204
great	203
after	202
visit	201
first	200
over	193
issue	192
policy	190
security	189
had	187
li	185
no	185
about	185
zemin	184
make	184
situation	181
however	180
trade	179
social	178
these	178
since	173
economy	171
century	169
both	167
committee	166
if	166
law	165
into	164
sides	164
many	164
rights	163
enterprises	162
central	161
various	161
under	160
developing	159
japan	158
would	157
when	155
who	154
during	154
further	154
still	153
efforts	153
principle	149
war	149
than	148
support	148
such	148
defense	147
forces	145
reform	144
market	144
beijing	142
through	142
human	142
pointed	141
held	140
peace	139
region	139
so	133
leaders	132
good	131
i	131
become	130
very	129
zhu	129
according	128
major	128
education	126
reunification	125
well	125
plan	124
them	124
interests	123
even	123
now	123
issues	123
against	121
members	120
long	120
last	120
today	118
russia	118
hong	116
bush	115
kong	114
being	114
use	113
building	112
most	111
force	111
cadres	111
side	109
what	109
stability	108
independence	108
always	108
do	108
financial	107
future	107
may	107
current	106
crossstrait	106
order	106
authorities	106
history	105
areas	105
while	104
expressed	104
past	104
continue	104
friendly	104
mainland	103
falungong	103
any	102
western	101
percent	101
strategic	101
information	100
importance	100
th	100
public	100
because	99
activities	98
role	98
same	98
common	98
affairs	97
cpc	97
talks	97
problems	97
develop	97
conditions	96
present	95
technology	94
own	93
bilateral	93
strengthen	92
joint	92
