<PAD>	1000000000
<UNK>	1000000000
<S>	1000000000
</S>	1000000000
的	8461
是	2047
和	1836
在	1784
了	1426
中国	1336
一	1171
对	960
发展	847
中	829
不	829
两	789
国	730
个	715
这	686
有	657
要	639
与	632
美国	630
经济	592
说	579
他	564
也	552
上	544
关系	543
问题	530
国家	517
将	509
为	494
台湾	481
新	481
年	477
就	455
人民	435
我们	434
各	427
政府	395
工作	355
大	346
合作	339
重要	335
都	322
还	315
次	313
社会	295
以	285
地	284
能	280
表示	275
建设	263
会	260
党	260
进行	259
多	256
国际	254
人	253
世界	250
并	249
来	246
而	243
美	240
但	236
地区	224
到	224
从	223
种	223
已	222
三	221
等	219
方面	218
政策	217
全	216
加强	215
日	210
政治	210
和平	210
企业	208
此	205
月	202
代表	199
后	188
我国	187
更	185
会议	182
下	182
实现	181
江泽民	181
把	180
指出	179
改革	178
组织	178
日本	177
必须	176
世纪	176
岸	175
历史	174
统一	174
着	172
时	171
认为	170
我	170
向	168
双方	168
共同	167
其	167
没有	167
技术	161
教育	160
稳定	159
市场	158
原则	157
军事	156
友好	155
支持	154
进一步	153
他们	152
思想	152
一些	151
最	151
好	150
使	149
要求	149
民族	148
所	146
战略	144
访问	143
有关	142
强调	142
努力	141
之	141
继续	140
记者	140
坚持	138
解决	138
领导	138
安全	137
已经	137
应	137
项	136
活动	136
领导人	136
提出	134
不断	134
同	131
北京	131
可以	131
自己	131
利益	130
希望	129
基础	126
总统	126
影响	126
计划	124
干部	124
主席	123
同时	122
这个	122
社会主义	121
取得	120
目前	120
通过	120
很	120
积极	119
作为	119
今年	119
又	117
中央	117
于	116
管理	116
高	115
这些	115
提高	115
建立	114
举行	114
领域	111
情况	111
今天	111
及	109
制度	109
祖国	108
本	108
才	108
大陆	107
法轮功	107
可	106
人权	106
根本	106
导弹	105
成为	104
环境	103
主要	102
推动	101
作用	101
布什	100
实施	100
香港	100
当局	99
开发	99
贸易	98
部门	96
维护	94
由	94
发生	94
重视	93
如果	92
以来	92
被	91
作出	91
战争	91
西部	91
现在	91
促进	90
增长	90
需要	89
俄	89
去年	89
